cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single a,250,0,90,90,1,50,5,1000,10,10,5,5,1,255,255,255,255,255,255,1,10,0,0,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single b,250,0,90,90,1,100,5,1000,10,10,5,5,1,255,255,255,255,255,255,1,10,0,0,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,45,45,1,100,10,1000,10,10,5,5,1,255,255,255,255,255,255,1,10,0,500,0
cls 0 black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,255,255,255,255,255,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,255,0,255,255,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,0,255,255,0,255,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,0,0,255,0,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,255,255,0,255,255,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,255,0,0,255,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,0,255,0,0,255,1,0,0,0,0
cls -1 blue,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,255,255,255,255,255,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,255,0,255,255,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,0,0,255,0,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,255,0,0,255,0,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,255,255,0,255,255,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,255,0,0,255,0,1,0,0,0,0
single 45,0,0,42,42,1,180,5,1000,10,10,5,5,1,0,0,255,0,0,255,1,0,0,0,0
Delay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,0
